game_id,final_score_margin,winning_team
20900524,3,home
20900525,-9,away
20900526,-4,away
20900527,9,home
20900528,2,home
20900529,7,home
20900530,2,home
20900531,32,home
20900532,-10,away
20900533,14,home
20900534,6,home
20900535,-18,away
20900536,9,home
20900537,2,home
20900538,-7,away
20900539,-5,away
20900540,10,home
20900541,12,home
20900542,-12,away
20900543,18,home
20900544,4,home
20900545,4,home
20900546,-6,away
20900547,33,home
20900548,18,home
20900549,11,home
20900550,4,home
20900551,29,home
20900552,-3,away
20900553,8,home
20900554,-9,away
20900555,2,home
20900556,20,home
20900557,-21,away
20900558,12,home
20900559,8,home
20900560,-1,away
20900561,-24,away
20900562,14,home
20900563,0,away
20900564,-5,away
20900565,0,away
20900566,18,home
20900567,12,home
20900568,-13,away
20900569,-13,away
20900570,1,home
20900571,16,home
20900572,12,home
20900573,1,home
20900574,0,away
20900575,0,away
20900576,25,home
20900577,-16,away
20900578,-8,away
20900579,1,home
20900580,-9,away
20900581,-9,away
20900582,40,home
20900583,15,home
20900584,26,home
20900585,-5,away
20900586,10,home
20900587,4,home
20900588,6,home
20900589,18,home
20900590,17,home
20900591,-1,away
20900592,22,home
20900593,7,home
20900594,8,home
20900595,5,home
20900596,-3,away
20900597,2,home
20900598,0,away
20900599,11,home
20900600,0,away
20900601,-7,away
20900602,17,home
20900603,7,home
20900604,-9,away
20900605,6,home
20900606,8,home
20900607,30,home
20900608,11,home
20900609,39,home
20900610,11,home
20900611,-8,away
20900612,-1,away
20900613,6,home
20900614,6,home
20900615,-2,away
20900616,2,home
20900617,24,home
20900618,-7,away
20900619,0,away
20900620,7,home
20900621,6,home
20900622,20,home
20900623,16,home
20900624,11,home
20900625,5,home
20900626,-24,away
20900627,14,home
20900628,0,away
20900629,-12,away
20900630,2,home
20900631,-2,away
20900632,-10,away
20900633,-7,away
20900634,32,home
20900635,-11,away
20900636,0,away
20900637,-10,away
20900638,1,home
20900639,-4,away
20900640,31,home
20900641,-7,away
20900642,33,home
20900643,0,away
20900644,9,home
20900645,33,home
20900646,-50,away
20900647,-14,away
20900648,1,home
20900649,-11,away
20900650,6,home
20900651,-1,away
20900652,5,home
20900653,-7,away
20900654,-5,away
20900655,11,home
20900656,9,home
20900657,-1,away
20900658,-12,away
20900659,27,home
20900660,1,home
20900661,0,away
20900662,3,home
20900663,14,home
20900664,-22,away
20900665,8,home
20900666,-6,away
20900667,16,home
20900668,3,home
20900669,-10,away
20900670,-5,away
20900671,15,home
20900672,-11,away
20900673,-13,away
20900674,-2,away
20900675,2,home
20900676,6,home
20900677,-21,away
20900678,-8,away
20900679,9,home
20900680,-27,away
20900681,14,home
20900682,-2,away
20900683,0,away
20900684,17,home
20900685,4,home
20900686,7,home
20900687,7,home
20900688,-11,away
20900689,18,home
20900690,0,away
20900691,10,home
20900692,0,away
20900693,11,home
20900694,-7,away
20900695,-14,away
20900696,-1,away
21000192,0,away
21000193,-4,away
21000194,28,home
21000195,-23,away
21000196,-16,away
21000197,10,home
21000198,-7,away
21000199,9,home
21000200,11,home
21000201,-17,away
21000202,4,home
21000203,11,home
21000204,0,away
21000205,0,away
21000206,3,home
21000207,4,home
21000208,7,home
21000209,-4,away
21000210,2,home
21000211,16,home
21000212,6,home
21000213,9,home
21000214,21,home
21000215,0,away
